,Bridge5,class
2022-06-27 00:28:32.141072+00:00,0.048,True
2022-06-27 00:59:46.384901+00:00,0.04,True
2022-06-27 01:31:00.778039+00:00,0.051,True
2022-06-27 02:02:15.180753+00:00,0.04,True
2022-06-27 02:33:29.979020+00:00,0.047,True
2022-06-27 03:04:43.907360+00:00,0.041,True
2022-06-27 03:35:58.538544+00:00,0.046,True
2022-06-27 04:07:17.106181+00:00,0.051,True
2022-06-27 04:38:31.586916+00:00,0.053,True
2022-06-27 05:09:46.535936+00:00,0.053,True
2022-06-27 05:41:31.178551+00:00,0.055,True
2022-06-27 06:12:45.586222+00:00,0.05,True
2022-06-27 06:44:00.546195+00:00,0.051,True
2022-06-27 07:15:31.106381+00:00,0.055,True
2022-06-27 07:46:45.419697+00:00,0.057,True
2022-06-27 08:17:59.653260+00:00,0.068,True
2022-06-27 08:49:13.818656+00:00,0.063,True
2022-06-27 09:20:27.656945+00:00,0.066,True
2022-06-27 09:51:40.933090+00:00,0.07,True
2022-06-27 10:22:55.494974+00:00,0.072,True
2022-06-27 10:54:10.059683+00:00,0.073,True
2022-06-27 11:25:24.534564+00:00,0.069,True
2022-06-27 11:56:38.864887+00:00,0.078,True
2022-06-27 12:27:52.139956+00:00,0.071,True
2022-06-27 12:59:36.860372+00:00,0.065,True
2022-06-27 13:30:51.020751+00:00,0.067,True
2022-06-27 14:02:05.420021+00:00,0.063,True
2022-06-27 14:33:50.382185+00:00,0.065,True
2022-06-27 15:05:04.864032+00:00,0.061,True
2022-06-27 15:36:20.142006+00:00,0.054,True
2022-06-27 16:07:34.386452+00:00,0.058,True
2022-06-27 16:39:19.894841+00:00,0.058,True
2022-06-27 17:10:33.100348+00:00,0.053,True
2022-06-27 17:41:47.813708+00:00,0.057,True
2022-06-27 18:13:02.783103+00:00,0.053,True
2022-06-27 18:44:47.260995+00:00,0.056,True
2022-06-27 19:16:21.020037+00:00,0.049,True
2022-06-27 19:47:35.106744+00:00,0.043,True
2022-06-27 20:18:50.062973+00:00,0.044,True
2022-06-27 20:50:19.904100+00:00,0.042,True
2022-06-27 21:21:34.298758+00:00,0.046,True
2022-06-27 21:52:48.384224+00:00,0.034,True
2022-06-27 22:24:03.024334+00:00,0.043,True
2022-06-27 22:55:17.425474+00:00,0.057,True
2022-06-27 23:26:31.982324+00:00,0.06,True
2022-06-27 23:57:46.624032+00:00,0.092,True
2022-06-28 00:09:00.624450+00:00,0.187,True
2022-06-28 00:20:14.779789+00:00,0.933,True
2022-06-28 00:31:59.744019+00:00,0.911,True
2022-06-28 00:43:14.066121+00:00,0.671,True
2022-06-28 00:54:44.214624+00:00,0.534,True
2022-06-28 01:05:58.703822+00:00,0.476,True
2022-06-28 01:19:13.023131+00:00,0.6960000000000001,True
2022-06-28 01:30:27.500152+00:00,0.732,True
2022-06-28 01:41:41.355580+00:00,0.662,True
2022-06-28 01:52:55.664638+00:00,0.587,True
2022-06-28 02:04:09.821819+00:00,0.555,True
2022-06-28 02:15:54.706172+00:00,0.522,True
